PDGP_ID,GENUS,SPECIES,FROH
PD_0843,Semnopithecus,vetulus,0.027119
PD_0844,Leontopithecus,chrysomelas,0.12444722
PD_0845,Nycticebus,bengalensis,0.03528831
PD_0846,Nycticebus,bengalensis,0.13195989
PD_0847,Semnopithecus,vetulus,0.03475444
PD_0848,Rhinopithecus,roxellana,0.2744811
PD_0849,Trachypithecus,laotum,0.15205068
PD_0850,Trachypithecus,melamera,0.03528102
PD_0851,Trachypithecus,leucocephalus,0.35662797
PD_0852,Trachypithecus,hatinhensis,0.06766585
PD_0853,Trachypithecus,germaini,0.01250633
PD_0854,Indri,indri,0.1346603
PD_0855,Nycticebus,coucang,0.00120221
PD_0856,Macaca,nigra,0.03640682
PD_0857,Macaca,tonkeana,0.03911364
PD_0858,Macaca,nemestrina,0.02165461
PD_0859,Macaca,assamensis,0.00087972
PD_0860,Macaca,arctoides,0
PD_0861,Callithrix,jacchus,0.13778584
PD_0863,Callithrix,geoffroyi,0.00111737
PD_0865,Callithrix,kuhlii,0.00202524
PD_0867,Macaca,nemestrina,0.00033835
PD_0870,Macaca,nemestrina,0.00372189
PD_0872,Macaca,nemestrina,0.00257149
PD_0874,Macaca,nemestrina,0.00372189
PD_0876,Mandrillus,leucophaeus,0.0234104
PD_0879,Colobus,angolensis,0.10123156
PD_0881,Rhinopithecus,bieti,0.17298234
PD_0883,Macaca,thibetana,0.12512305
PD_0884,Nomascus,leucogenys,0
PD_0885,Macaca,cyclopis,0.0915584
PD_0886,Macaca,fuscata,0.15381541
SAMN01920473,Gorilla,beringei,0.39473569
SAMN01920474,Gorilla,beringei,0.27932348
SAMN01920475,Gorilla,beringei,0.49179865
SAMN01920476,Gorilla,gorilla,0.22667477
SAMN01920477,Gorilla,gorilla,0.00635416
SAMN01920478,Gorilla,gorilla,0.01050381
SAMN01920479,Gorilla,gorilla,0.02217471
SAMN01920480,Gorilla,gorilla,0.0177657
SAMN01920481,Gorilla,gorilla,0.0038903
SAMN01920482,Gorilla,gorilla,0.03760623
SAMN01920483,Gorilla,gorilla,0.02399018
SAMN01920484,Gorilla,gorilla,0.04253394
SAMN01920485,Gorilla,gorilla,0.0719057
SAMN01920486,Gorilla,gorilla,0.01497765
SAMN01920487,Gorilla,gorilla,0.02950144
SAMN01920488,Gorilla,gorilla,0.02418469
SAMN01920489,Gorilla,gorilla,0.04817487
SAMN01920490,Gorilla,gorilla,0.02703758
SAMN01920491,Gorilla,gorilla,0.06114254
SAMN01920492,Gorilla,gorilla,0.03254884
SAMN01920493,Gorilla,gorilla,0.08072371
SAMN01920494,Gorilla,gorilla,0.03326206
SAMN01920495,Gorilla,gorilla,0.0333269
SAMN01920496,Gorilla,gorilla,0.15619551
SAMN01920497,Gorilla,gorilla,0.09810038
SAMN01920498,Gorilla,gorilla,0.04681327
SAMN01920499,Gorilla,gorilla,0.02645403
SAMN01920500,Gorilla,gorilla,0.03112239
SAMN01920501,Gorilla,gorilla,0.01355121
SAMN01920502,Gorilla,gorilla,0.06205027
SAMN01920503,Gorilla,gorilla,0.10607549
SAMN01920504,Pan,paniscus,0
SAMN01920505,Pan,paniscus,0.07222148
SAMN01920506,Pan,paniscus,0.09345142
SAMN01920507,Pan,paniscus,0.06521097
SAMN01920508,Pan,paniscus,0.10562061
SAMN01920509,Pan,paniscus,0.04093873
SAMN01920510,Pan,paniscus,0.03644143
SAMN01920511,Pan,paniscus,0.04986721
SAMN01920512,Pan,paniscus,0.08604409
SAMN01920513,Pan,paniscus,0.04616355
SAMN01920514,Pan,paniscus,0.18577852
SAMN01920515,Pan,paniscus,0.00436503
SAMN01920516,Pan,paniscus,0.01243373
SAMN01920517,Pan,troglodytes,0.05244655
SAMN01920518,Pan,troglodytes,0.19437631
SAMN01920519,Pan,troglodytes,0.04609741
SAMN01920520,Pan,troglodytes,0.06283004
SAMN01920521,Pan,troglodytes,0.06468188
SAMN01920522,Pan,troglodytes,0.04424558
SAMN01920523,Pan,troglodytes,0.04312125
SAMN01920524,Pan,troglodytes,0.03339913
SAMN01920525,Pan,troglodytes,0.03339913
SAMN01920526,Pan,troglodytes,0.1041656
SAMN01920527,Pan,troglodytes,0.07288285
SAMN01920528,Pan,troglodytes,0.1023799
SAMN01920529,Pan,troglodytes,0.06567393
SAMN01920530,Pan,troglodytes,0.02050244
SAMN01920531,Pan,troglodytes,0.01646809
SAMN01920532,Pan,troglodytes,0.05879569
SAMN01920533,Pan,troglodytes,0.00562164
SAMN01920534,Pan,troglodytes,0.01421943
SAMN01920535,Pan,troglodytes,0.00509254
SAMN01920536,Pan,troglodytes,0.03869008
SAMN01920537,Pan,troglodytes,0.02943092
SAMN01920538,Pan,troglodytes,0.0365737
SAMN01920539,Pan,troglodytes,0.03452346
SAMN01920540,Pan,troglodytes,0.01851833
SAMN01920541,Pan,troglodytes,0.01540989
SAMN01920542,Pongo,abelii,0.07092903
SAMN01920543,Pongo,abelii,0.06583936
SAMN01920544,Pongo,abelii,0.09840016
SAMN01920545,Pongo,abelii,0.08097785
SAMN01920546,Pongo,abelii,0.0732781
SAMN01920547,Pongo,pygmaeus,0.07808712
SAMN01920548,Pongo,pygmaeus,0.01311919
SAMN01920549,Pongo,pygmaeus,0.07752885
SAMN01920550,Pongo,pygmaeus,0.05289547
SAMN01920551,Pongo,pygmaeus,0.09148544
